Path,AOM,L1,L2,L3,L4,L5,L6,L7,L8,L9,L10,Edge_Value,Synonym,Description,Notes,Example Units,Ontology,Agrovoc,Group,Scientific Name,NCBI,Sex,ERA.Field,ERA_Code,C or E,WFO,Feedipedia,CPC_Code_Product,CPC_Code_Component,CPC_Code_Product_Match,CPC_Code_Component_Match,Ani_Diet_Spp_Syn,Is_Ani_Diet_Ingredient,ilri_code,Column1,Column2,Column3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/open water/cage/floating cage,AOM_000891,Farming System,livestock system,aquatic system,living environment,open water,cage,floating cage,,,,floating cage,,aquaculture system using a cage floating or maintained at the surface of the water,,,http://opendata.inra.fr/EOL/EOL_0001505,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/living environment/open water/cage/submerged cage,AOM_000892,Farming System,livestock system,aquatic system,living environment,open water,cage,submerged cage,,,,submerged cage,,aquaculture system using a cage totally immersed in the water body,,,http://opendata.inra.fr/EOL/EOL_0001518,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation,AOM_000855,Farming System,livestock system,aquatic system,production orientation,,,,,,,production orientation,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/caviar,AOM_000856,Farming System,livestock system,aquatic system,production orientation,caviar,,,,,,caviar,,system dedicated to the production of fish mature oocytes whose purpose is for human consumption.This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001718,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/eggs,AOM_000857,Farming System,livestock system,aquatic system,production orientation,eggs,,,,,,eggs,,rearing system mainly dedicated to the egg production which may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001711,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/larvae,AOM_000858,Farming System,livestock system,aquatic system,production orientation,larvae,,,,,,larvae,,"system of production dedicated to eggs, larvae and fry which come from the wild or be produced on a farm.This system may be composed of one or several rearing stage unit",,,http://opendata.inra.fr/EOL/EOL_0001573,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/larvae/domesticated larvae,AOM_000859,Farming System,livestock system,aquatic system,production orientation,larvae,domesticated larvae,,,,,domesticated larvae,,system of production of larvae in a farm from a genitor born in a farm.This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001583,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/larvae/wild caught larvae,AOM_000860,Farming System,livestock system,aquatic system,production orientation,larvae,wild caught larvae,,,,,wild caught larvae,,system of production dedicated to the production of larvae and fry coming from the natural environment.This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001580,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/meat,AOM_000861,Farming System,livestock system,aquatic system,production orientation,meat,,,,,,meat,,rearing system mainly dedicated to the meat or flesh production which may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001575,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/reproducers,AOM_000862,Farming System,livestock system,aquatic system,production orientation,reproducers,,,,,,reproducers,,system of production dedicated to the production of mature animal to broadcast semen or genitor (animal could come from the natural environment or be produced in a farm).This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001576,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/production orientation/reproducers/domesticated reproducers,AOM_000863,Farming System,livestock system,aquatic system,production orientation,reproducers,domesticated reproducers,,,,,domesticated reproducers,,system of production dedicated to the production of sexually mature animal using juvenile that come from a farm.This system may be composed of one or several rearing stage unit,,,http://opendata.inra.fr/EOL/EOL_0001585,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage,AOM_000865,Farming System,livestock system,aquatic system,rearing stage,,,,,,,rearing stage,,any characteristic of terrestrial unit of production related to a specific life stage rearing,,,http://opendata.inra.fr/EOL/EOL_0001709,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/broodstock,AOM_000866,Farming System,livestock system,aquatic system,rearing stage,broodstock,,,,,,broodstock,reproducer production unit,unit dedicated to the production of mature animal to produce semen or reproducers (animal could come from the natural environment or produced in a farm),,,http://opendata.inra.fr/EOL/EOL_0001717,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/growing,AOM_000867,Farming System,livestock system,aquatic system,rearing stage,growing,,,,,,growing,growing-out rearing unit;animal grower production unit;fattening rearing unit;ongrowing rearing unit;grower rearing unit,unit dedicated to the production of animal in growing phase coming from juvenile stage or pregrowing stage. The animal comes from the natural environment or produced in a farm. Newborn->Juvenile->Pregrowout->Grower->Finisher.,,,http://opendata.inra.fr/EOL/EOL_0001710,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/growing/grower-finisher,AOM_000868,Farming System,livestock system,aquatic system,rearing stage,growing,grower-finisher,,,,,grower-finisher,growing-finishing housing system;fattening housing system;broiler housing system,"unit dedicated to the production of animal in growing-finishing phase until the slaughtering, which come from the natural environment or produced in a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher",,,http://opendata.inra.fr/EOL/EOL_0001632,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/juvenile,AOM_000869,Farming System,livestock system,aquatic system,rearing stage,juvenile,,,,,,juvenile,juvenile production unit;weaned animal rearing unit;fingerling production;fry production,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal comes from the natural environment or produced in a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher,,,http://opendata.inra.fr/EOL/EOL_0001574,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/juvenile/domesticated juvenile,AOM_000870,Farming System,livestock system,aquatic system,rearing stage,juvenile,domesticated juvenile,,,,,domesticated juvenile,domesticated fingerling production,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is initially produced on a farm.Newborn->Juvenile->Pregrowout->Grower->Finisher,,,http://opendata.inra.fr/EOL/EOL_0001584,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/juvenile/wild caught juvenile,AOM_000871,Farming System,livestock system,aquatic system,rearing stage,juvenile,wild caught juvenile,,,,,wild caught juvenile,Wild caught fingerling production system,unit dedicated to the production of young animal feeding by himself (weaned animal or yolk sac resorption stage) and which can be transfered in pregrowing unit or growing unit. The animal is originating from the natural environment.Newborn->Juvenile->Pregrowout->Grower->Finisher,,,http://opendata.inra.fr/EOL/EOL_0001582,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/newborn,AOM_000872,Farming System,livestock system,aquatic system,rearing stage,newborn,,,,,,newborn,fish fry production unit,"unit dedicated to the production of newborn animal before weaning (mammal) or until hatching (fish, chicken).Newborn->Juvenile->Pregrowout->Grower->Finisher",,,http://opendata.inra.fr/EOL/EOL_0001716,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/rearing stage/pre-growout,AOM_000873,Farming System,livestock system,aquatic system,rearing stage,pre-growout,,,,,,pre-growout,pre-fattening rearing unit;pregrowing rearing unit;on-growing rearing unit,unit dedicated to the production of a sexually immature animal and which comes from the natural environment or is produced in a farm (juvenile animal) and can be transfered in growing unit.Newborn->Juvenile->Pregrowout->Grower->Finisher,,,http://opendata.inra.fr/EOL/EOL_0001725,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations,AOM_000893,Farming System,livestock system,aquatic system,species associations,,,,,,,species associations,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/mono-species,AOM_000894,Farming System,livestock system,aquatic system,species associations,mono-species,,,,,,mono-species,mono-species breeding system;monoculture rearing system,system of farming which rears only one type of animal species in the same production unit,,,http://opendata.inra.fr/EOL/EOL_0001507,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/mono-species/group-housing,AOM_000895,Farming System,livestock system,aquatic system,species associations,mono-species,group-housing,,,,,group-housing,,system of farming where animals are housed in a mono-species group,,,http://opendata.inra.fr/EOL/EOL_0001608,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/mono-species/individual housing,AOM_000896,Farming System,livestock system,aquatic system,species associations,mono-species,individual housing,,,,,individual housing,,system of farming where the animal is housed alone,,,http://opendata.inra.fr/EOL/EOL_0001634,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/multi-species,AOM_000897,Farming System,livestock system,aquatic system,species associations,multi-species,,,,,,multi-species,poly-species rearing system;polyculture rearing system,"system of farming which uses multiple species in the same rearing structure occupying different ecological niches of the medium to optimize production, with or without trophic interrelationship",,,http://opendata.inra.fr/EOL/EOL_0001506,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/multi-species/integrated system,AOM_000898,Farming System,livestock system,aquatic system,species associations,multi-species,integrated system,,,,,integrated system,IMTA; Integrated multi-trophic aquaculture,"system of farming which provides the by-products (including waste) from one animal species (aquatic or terrestrial) as inputs for another species (animal, plant or aquatic) in the same production unit",,,http://opendata.inra.fr/EOL/EOL_0001516,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Farming System/livestock system/aquatic system/species associations/multi-species/integrated system/aquaponic system",AOM_000899,Farming System,livestock system,aquatic system,species associations,multi-species,integrated system,"aquaponic system",,,,"aquaponic system",,production system that combines a traditional aquaculture with hydroponics (use the water of aquaculture system to cultivate plants) in the same production unit,,,http://opendata.inra.fr/EOL/EOL_0001520,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/aquatic system/species associations/Unspecified,AOM_003052,Farming System,livestock system,aquatic system,species associations,Unspecified,,,,,,Unspecified,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/precision livestock farming,AOM_000928,Farming System,livestock system,precision livestock farming,,,,,,,,precision livestock farming,,any characteristic related to the general description of experimental farming system,,,http://opendata.inra.fr/EOL/EOL_0002013,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/precision livestock farming/animal device,AOM_000929,Farming System,livestock system,precision livestock farming,animal device,,,,,,,animal device,,"any technological device positioned on the animal (external, internal) to collect biology data (temperature, blood pressure, ph, physical activity ...), geographical location (outdoor, indoor) or identification information",,,http://opendata.inra.fr/EOL/EOL_0001956,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/precision livestock farming/animal device/identification device,AOM_000930,Farming System,livestock system,precision livestock farming,animal device,identification device,,,,,,identification device,,"any device positioned on the animal (external, internal) allowing its identification visually or automatically",,,http://opendata.inra.fr/EOL/EOL_0001958,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/precision livestock farming/animal device/sensor,AOM_000931,Farming System,livestock system,precision livestock farming,animal device,sensor,,,,,,sensor,,an external or internal electronic device to record biological data or geographical localisation of an animal,,,http://opendata.inra.fr/EOL/EOL_0001961,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system,AOM_000848,Farming System,livestock system,terrestrial system,,,,,,,,terrestrial system,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/grazing,AOM_000932,Farming System,livestock system,terrestrial system,grazing,,,,,,,grazing,pasture system,outdoor housing systems designed to help match the nutritional demands through pasture of the livestock with eventual supply of complementary forage.,,,http://opendata.inra.fr/EOL/EOL_0001706,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/grazing/paddocks,AOM_000933,Farming System,livestock system,terrestrial system,grazing,paddocks,,,,,,paddocks,paddock grazing system,field pasture system,,,http://opendata.inra.fr/EOL/EOL_0001944,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/grazing/set stocking,AOM_000934,Farming System,livestock system,terrestrial system,grazing,set stocking,,,,,,set stocking,,continuous grazing system with a fixed number of animals,,,http://opendata.inra.fr/EOL/EOL_0001943,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/grazing/strip grazing,AOM_000935,Farming System,livestock system,terrestrial system,grazing,strip grazing,,,,,,strip grazing,rationed grazing,rationed pasture system,,,http://opendata.inra.fr/EOL/EOL_0001945,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment,AOM_000900,Farming System,livestock system,terrestrial system,living environment,,,,,,,living environment,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/barn,AOM_003029,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,barn,,,barn,,"a farm building used for housing livestock, storing machinery or crops etc",,,http://opendata.inra.fr/EOL/EOL_0001898,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/larger space/barn rearing system/cubicle house,AOM_000912,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,larger space,barn rearing system,cubicle house,cubicle house,,building divided into rows of individual stalls or cubicles in which animals lay when at rest but are not restrained.,,,http://opendata.inra.fr/EOL/EOL_0001907,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/pen,AOM_003028,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,pen,,,pen,,"small enclosure for livestock, within a house",,,http://opendata.inra.fr/EOL/EOL_0001902,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Farming System/livestock system/terrestrial system/living environment/rearing or housing structure/production unit structure/indoor rearing structure/shed,AOM_003200,Farming System,livestock system,terrestrial system,living environment,rearing or housing structure,production unit structure,indoor rearing structure,shed,,,shed,,,,,,,,,,,,,,,,,,,,,FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
